Class,Material,Density,Description
Paper,Cardboard (unwaxed),106,"Kraft linerboard, containerboard cartons and shipping boxes with corrugated paper medium (unwaxed). This category also includes Kraft (brown) paper bags. Excludes waxed and plastic-coated cardboard, solid boxboard, and bags that are not pure unbleached Kraft."
Paper,Mixed paper,158,"Mixed recyclable papers, including white ledger, white office paper, newspaper, shredded paper, junk mail, magazines, colored papers, bleached Kraft, boxboard, polycoated containers, mailing tubes, clean paper cups, and paperback books. Includes paper packaging made primarily of paper but with a non-paper attachment. Examples include laundry detergent boxes with plastic handles, paper bags with plastic handles, boxboard salt containers with plastic or metal spouts, and aluminum foil packaging boxes with metal serrated edges."
Paper,Coated cartons and cups,158,"Gable tops, aseptic containers, polycoated containers, and polycoated cups."
Paper,Paper food serviceware,138,"Waxed cardboard: Corrugated (multi-layered) cardboard that is lined with polyethylene to prevent it from getting soggy.
Fiber-based paper containers: Cups or tubs made of paper which can be composted and are generally not recycled. May be contaminated with food, moisture, or wax. Containers are clearly labeled with 'commercially compostable'."
Paper,Compostable paper towels,138,Any low-grade or food-soiled paper towels that could potentially be composted. Used for hand drying in the bathrooms or café areas.
Plastic,#1 & #2 HDPE containers,35,"#1 PET single-use beverage containers: Polyethylene terephthalate bottles bearing the #1, such as carbonated drink bottles and water bottles. Lids and caps are left attached to containers when feasible.
#1 PET other containers: Includes plastic non-bottle packaging bearing the #1, and would include oven-ready meal trays and other packaging. Also includes blow molded jars bearing the #1, such as those commonly used for peanut butter.
#2 HDPE containers: Yogurt and margarine tubs and any packaging jar or tub bearing the #2. Lids and caps are left attached to containers when feasible."
Plastic,#3-6 containers,35,"All other plastic bottles, tubs, jars, cups, and other containers not included in categories above. May be labeled PVC (#3), Low-Density Polyethylene ('LDPE' or #4), Polypropylene ('PP', #5), or Polystyrene ('PS', #6)."
Plastic,#7 PLA or PHA rigid plastics,35,"#7 potentially compostable plastic serviceware: Any compostable plastic cutlery or utensils made from corn, potato, sugarcane or any other compostable resin. Examples include compostable straws, forks, knives and spoons.
#7 potentially compostable plastic ups: Any compostable plastic cup made from corn, potato, sugarcane or any other compostable resin. Examples include beverage cups.
#7 potentially compostable rigid plastic other containers: Any compostable plastic packaging or food containers made from corn, potato, sugarcane or any other compostable resin. Examples include fast food clamshell containers or soup cups. Lids and caps are left attached to containers when feasible."
Plastic,Other rigid plastics,26,"#3-6 other plastics: All other plastics not included in categories above. May be labeled PVC (#3), Low-Density Polyethylene (''LDPE'' or #4), Polypropylene (''PP'', #5), or Polystyrene (''PS'', #6).
#6 expanded polystyrene: Expanded polystyrene (#6) foodservice containers and packaging materials. Examples include clamshells, trays, cups and packaging blocks.
Non-recoverable/composite plastics: Includes all other types of plastic that are not one of the above materials and items that are too small to be properly identified (''2 inches''), also composites of multiple plastics and plastics mixed with other materials."
Plastic,#7 PLA or PHA film plastics,35,"Includes compostable plastic items, such as film 'plastic' bags made of materials such as corn starch or soy designed to compost (e.g., BioBag, EcoSafe)."
Plastic,Latex/nitrile gloves,35,Personal protective gloves used in food handling.
Plastic,Snack wrappers,35,"Lay flat packaging, intended for snacks. Include chip bags, granola bars, trail mix bags, and others."
Plastic,Film plastic,23,"Clean plastic film: Plastic grocery 't-shirt' and retail bags; bread and produce bags; newspaper bags; napkin, towel, tissue, diaper overwrap; bottled water case wrap; dry cleaner film bags; case and stretch wrap; plastic air pillows; food storage ('Ziploc') bags; all other film packaging that is potentially recyclable.
Non-recoverable plastic film: Includes all other types of plastic film that are not one of the above film materials.
Disposal bags: all bags used to contain and transport waste from generation point to disposal site. Includes garbage bags, bags for recycling (clear or blue), and non-compostable bags used to contain compost. This does not include clean unused disposal bags."
Metal,Aluminum cans,46,"Aluminum cans containing soda, carbonated juice, seltzer, tea, sparkling water, beer, hard cider, energy drinks, and all other aluminum cans (such as cat food containers)."
Metal,Other recyclable metals,225,"Includes tinned steel food, scrap metal, clean aluminum foil, metal tools."
Glass,Recyclable glass,380,"Includes any color pop, liquor, wine, juice, beer. Also includes other glass containers that can be recycled - food bottles, jars, and containers."
Glass,Other glass,999,"Other types of glass products and scrap that do not fit into the above materials, including light bulbs, glassware, oven-safe baking dishes such as Pyrex, and non-C&D fiberglass."
Organics,Food & liquids,486,"Potentially edible food: Plant-based and animal-derived foods that appear to be edible and pre-consumer. This includes edible breads, candies, chicken, and unopened single servings of food. This can include the food container when the container weight is not appreciable compared to the food inside.
Inedible scraps and post-consumer food: Plant-based foods and animal-derived foods that are post-consumer (plate scrapings) or trim resulting from food preparation. This includes coffee filters, tea bags, bones, and eggshells, fruit from spa water. This category can include the food container when the container weight is not appreciable compared to the food inside.
Liquids: Beverages or other liquids including the container when the container weight is not appreciable compared to the liquid inside."
Organics,Other compostable organics,135,"Organic materials such as wood products (dimensional lumber, wood pallets, pressure treated wood, particle board, and plywood), yard waste (leaves, grass clippings, garden wastes, and brush)."
Other,E-waste and batteries,438,"E-waste: Includes computer equipment, phones, radios, chargers, and televisions. Also includes any battery-powered devices.
Batteries: Batteries."
Other,HHW,1671,"Includes paint, hazardous cleaning products, industrial chemicals, motor oil, sharps, and medical waste."
Other,"Operational waste (C&D, HVAC, furniture)",417,"Any waste that is generated as a result of typical site operations. May include construction and demolition, HVAC and furniture from day to day operations."
Other,Other residuals,135,"Any item not described above, such as textiles, construction debris, soil, sand, dirt, grit, and non-distinct materials. Also includes aseptic containers such as soy milk boxes."
